Year	LPNP
1999	
2000	2.7
2001	2.4
2002	2.6
2003	2.8
2004	4.1
2005	3.1
2006	3.5
2007	3.5
2008	2.0
2009	-1.2
2010	2.8
2011	2.6
2012	1.8
2013	
