Year	CAPRP	LCRP	LPRP
1998			
1999	1.4	0.3	3.1
2000	1.3	-1.4	4.0
2001	-0.3	-3.4	4.1
2002	1.4	6.5	1.2
2003	1.6	-2.3	4.7
2004	1.8	-0.7	1.9
2005	2.2	0.5	-0.7
2006	3.0	-3.4	3.5
2007	2.3	-0.7	2.1
2008	1.9	0.3	-1.4
2009	4.3	3.8	-2.5
2010	-2.8	-1.3	-2.4
2011	-2.2	-2.9	-1.6
2012	1.1	-5.5	2.5
