Year	CAPRP
1998	
1999	0.5
2000	-0.1
2001	0.7
2002	2.4
2003	0.5
2004	0.4
2005	-0.1
2006	0.0
2007	0.1
2008	-1.4
2009	3.1
2010	-1.6
2011	-0.9
2012	0.4
2013	
