Year	CAPRI	LPRI
1998	100	
1999	101	103.1
2000	103	107.2
2001	102	111.5
2002	104	112.8
2003	105	118.1
2004	107	120.4
2005	110	119.5
2006	113	123.8
2007	116	126.3
2008	118	124.5
2009	123	121.4
2010	119	118.4
2011	117	116.6
2012	118	119.5
