Year	CAPNP	LCNP
1998		
1999	13	-17.5
2000	8	11.4
2001	11.75	10.9
2002	9.25	8.6
2003		5.8
2004	7.5	4.2
2005	6	2.7
2006	4.5	2.0
2007	6.75	6.2
2008	6.25	4.4
2009	4	2.8
2010		-0.9
2011	5	1.8
2012		5.9
2013	4.6	
