Year	CAPRI	LCRI
1998	100	
1999	100	99.3
2000	101	98.7
2001	102	97.8
2002	102	96.6
2003	102	95.3
2004	103	93.8
2005	104	92.9
2006	104	92.0
2007	105	92.8
2008	105	95.7
2009	107	96.9
2010	107	94.6
2011	107	92.3
2012	106	89.1
2013		
