Year	LCNP
1999	
2000	5.2
2001	5.2
2002	0.4
2003	0.2
2004	-0.9
2005	0.2
2006	-0.5
2007	4.2
2008	3.1
2009	4.4
2010	-2.3
2011	-0.6
2012	2.6
2013	
