Year	CAPNP
1999	2.3
2000	1.9
2001	2.9
2002	1.3
2003	2.3
2004	2.2
2005	3.1
2006	2.8
2007	2.9
2008	3.9
2009	2.6
2010	1.19
2011	3.15
2012	4.5
2013	3.3
