Year	CAPNP	LPNP
1999	3.7	
2000	3.5	3.7
2001	3.5	3.7
2002	3.2	4.0
2003	3.5	5.4
2004	3	4.5
2005	3.5	4.2
2006	3	4.6
2007	4	5.2
2008	4	1.3
2009	3	-1.1
2010	1.8	4.4
2011	4.75	2.8
2012	4	0.5
2013		
