Year	CAPNP	CPENP
1998		
1999	13	5895.2
2000	8	15.0
2001	11.75	15.2
2002	9.25	13.6
2003		9.9
2004	7.5	10.3
2005	6	7.1
2006	4.5	5.6
2007	6.75	5.5
2008	6.25	7.2
2009	4	-1.7
2010		-0.3
2011	5	3.0
2012		4.6
2013	4.6	
