Year	CAPNP
1999	2.7
2000	3
2001	3
2002	2.7
2003	3
2004	3.1
2005	3.1
2006	3
2007	3
2008	3.2
2009	2.5
2010	2.3
2011	2.3
2012	2
2013	2
