Year	CPENP
1998	
1999	
2000	7.7
2001	7.9
2002	5.4
2003	6.4
2004	5.2
2005	5.6
2006	4.3
2007	5.1
2008	4.8
2009	-1.3
2010	-3.2
2011	-0.2
2012	1.8
