Year	LCNP
1999	-82.8
2000	64.9
2001	45.1
2002	-0.2
2003	21.0
2004	3.1
2005	22.0
2006	4.9
2007	15.2
2008	22.9
2009	2.9
2010	-1.9
2011	0.6
2012	6.3
