Year	CAPRP
1999	-0.5
2000	-0.2
2001	-0.7
2002	1.9
2003	-0.3
2004	0.5
2005	-0.8
2006	-0.3
2007	0.1
2008	-2.4
2009	3.9
2010	-1.4
2011	-1.9
2012	1.0
2013	
