Year	CAPRP
1999	2.0
2000	-0.5
2001	-1.7
2002	2.5
2003	-0.9
2004	0.0
2005	0.2
2006	1.0
2007	0.2
2008	-0.9
2009	4.0
2010	-1.2
2011	-2.6
2012	0.0
2013	
