Year	CAPNP
1999	3.35
2000	3.93
2001	3.83
2002	3.90
2003	3.83
2004	3.55
2005	4.06
2006	3.94
2007	3.89
2008	3.88
2009	2.14
2010	2.19
2011	3.17
2012	1.5
2013	
