Year	CAPNP
1998	
1999	2.2
2000	4.2
2001	3.3
2002	3.5
2003	3
2004	3
2005	3.3
2006	3.4
2007	2.9
2008	3.4
2009	2.6
2010	1.8
2011	2.1
2012	
2013	
