Year	CAPNI	LCNI
1999		102.8
2000		105.4
2001		108.6
2002		110.2
2003		112.2
2004		114.5
2005		116.8
2006		120.1
2007		122.7
2008		126.7
2009		133.4
2010		135.0
2011		137.0
2012		142.2
2013		
