Year	CAPNP	LCNP
1999	2.69	
2000	3.06	2.8
2001	2.51	3.2
2002	3.16	3.1
2003	2.66	2.7
2004	2.94	2.5
2005	3.65	3.3
2006	2.98	3.1
2007	3.8	4.1
2008	2.63	5.6
2009	2	1.3
2010	2.95	-2.0
2011	0.08	-1.5
2012	0.02	-3.4
2013		
