Year	CAPRP
1998	
1999	2
2000	0.3
2001	-1
2002	4.4
2003	-0.8
2004	0
2005	0.2
2006	1
2007	0.3
2008	-0.4
2009	3.8
2010	-0.4
2011	-1.2
2012	0.9
