Year	CAPNP	LCNP
1999	28.3	
2000	68.8	64.9
2001	89.3	45.1
2002	26.9	-0.2
2003	47.8	21.0
2004	12	3.1
2005	10.7	22.0
2006	6.5	4.9
2007	18.2	15.2
2008	30.8	22.9
2009	17.6	2.9
2010	0	-1.9
2011	11.7	0.6
2012	4.5	6.3
2013	10.7	
