Year	LCNP
1999	
2000	4.4
2001	3.9
2002	3.2
2003	3.8
2004	1.0
2005	3.6
2006	0.9
2007	1.1
2008	3.5
2009	3.1
2010	-0.9
2011	-0.5
2012	-4.0
	
