Year	CAPNP
1998	
1999	3.6
2000	3.4
2001	4
2002	3.8
2003	2.9
2004	2.9
2005	2.7
2006	2.7
2007	2.9
2008	3.1
2009	2.9
2010	2.4
2011	1.5
2012	1.4
2013	
