Year	CAPRP
1998	
1999	0.3
2000	1.2
2001	1.1
2002	2.0
2003	1.6
2004	0.9
2005	-0.2
2006	0.3
2007	-0.1
2008	-1.5
2009	4.0
2010	-0.3
2011	-1.2
2012	-0.4
