Year	CAPNI	LPNI
1999		100.6
2000		101.2
2001		103.6
2002		105.7
2003		107.4
2004		109.5
2005		111.1
2006		114.9
2007		118.6
2008		119.4
2009		114.5
2010		119.7
2011		122.6
2012		123.7
