Year	CAPNI	LCNI
1999		100.6
2000		102.2
2001		108.0
2002		109.4
2003		114.2
2004		119.0
2005		124.4
2006		128.9
2007		134.1
2008		142.6
2009		137.2
2010		128.3
2011		124.1
2012		125.0
