Year	CAPNI	LCNI	LPNI
1999		102.8	103.9
2000		105.4	107.7
2001		108.6	111.7
2002		110.2	116.2
2003		112.2	122.4
2004		114.5	127.9
2005		116.8	133.2
2006		120.1	139.4
2007		122.7	146.6
2008		126.7	148.6
2009		133.4	147.0
2010		135.0	153.4
2011		137.0	157.8
2012		142.2	158.5
2013			
