Year	CAPNP	LPNP
1998		
1999	1.8	
2000	2.9	5.9
2001	3.3	4.0
2002	2.2	2.2
2003	2.9	1.3
2004	2.4	4.2
2005	2.5	2.0
2006	1.7	3.4
2007	2.1	6.2
2008	4.3	0.7
2009	3.6	-4.7
2010	2	3.8
2011	2.4	4.8
2012	1.9	2.3
2013		
