Year	CAPNP
1999	2.5
2000	4.2
2001	3.3
2002	5.4
2003	3.9
2004	6.5
2005	6.5
2006	6
2007	5.8
2008	6.5
2009	1.8
2010	1.8
2011	0
2012	0
