Year	CAPNP	LCNP	LPNP
1998			
1999	13	-17.5	5637.9
2000	8	11.4	13.3
2001	11.75	10.9	15.6
2002	9.25	8.6	13.4
2003		5.8	9.5
2004	7.5	4.2	11.3
2005	6	2.7	6.9
2006	4.5	2.0	7.1
2007	6.75	6.2	4.8
2008	6.25	4.4	8.2
2009	4	2.8	-1.0
2010		-0.9	3.1
2011	5	1.8	4.4
2012		5.9	1.3
2013	4.6		
