Year	CAPRP
1998	
1999	1.4
2000	1.3
2001	-0.3
2002	1.4
2003	1.6
2004	1.8
2005	2.2
2006	3.0
2007	2.3
2008	1.9
2009	4.3
2010	-2.8
2011	-2.2
2012	1.1
