Year	CAPNI	LPNI
1999		103.4
2000		109.7
2001		112.2
2002		115.3
2003		118.9
2004		125.3
2005		130.7
2006		135.2
2007		136.7
2008		139.0
2009		135.2
2010		146.3
2011		149.4
2012		152.5
2013		
