Year	LPNP
2000	-88.2
1999	-32.4
2001	117.7
2002	43.5
2003	29.9
2004	27.4
2005	18.6
2006	18.5
2007	20.3
2008	23.7
2009	-0.7
2010	4.8
2011	7.5
2012	3.6
2013	
