Year	LPNP
1998	
1999	
2000	11.6
2001	7.9
2002	9.5
2003	5.6
2004	3.2
2005	3.5
2006	4.2
2007	1.7
2008	-4.6
2009	-2.2
2010	1.1
2011	3.4
2012	3.5
