Year	CAPNP
1999	2.53
2000	2.85
2001	3.87
2002	4.88
2003	3.47
2004	3.68
2005	4.02
2006	3.22
2007	4.79
2008	2.63
2009	2.08
2010	2.11
2011	1.74
2012	0.70
2013	
