Year	CAPNP	LCNP
1998		
1999	1.35	-15.1
2000	5.05	2.5
2001	3.52	6.5
2002	4.14	2.2
2003	4.14	1.3
2004	4.14	1.2
2005	3.52	2.3
2006	3.32	1.3
2007	2.5	1.6
2008	2.5	9.4
2009	4	7.3
2010	2.5	1.6
2011	2.5	3.3
2012	2.5	3.2
