Year	CAPRP	CPERP
1998		
1999	0.5	
2000	0.0	0.9
2001	0.6	1.9
2002	0.2	-0.3
2003	1.6	1.4
2004	2.3	3.5
2005	1.7	2.9
2006	0.4	1.6
2007	0.5	2.0
2008	0.4	0.4
2009	1.9	0.7
2010	0.3	0.1
2011	-0.9	0.1
2012	-1.2	-0.1
2013		
