Year	CAPNP
1999	0.9
2000	2.5
2001	1.9
2002	4.3
2003	1.5
2004	2.2
2005	2.4
2006	2.4
2007	2.0
2008	2.1
2009	4.1
2010	0.8
2011	1.5
2012	3.6
2013	2.5
