Year	CAPNP
1999	
2000	
2001	3.4
2002	1.9
2003	2.9
2004	1.5
2005	5.9
2006	3.6
2007	1.9
2008	1.8
2009	1.8
2010	2.5
2011	0.5
2012	
2013	
