Year	CAPNP	LCNP
1999	3.3	
2000	3	2.5
2001	3.2	3.1
2002	2.2	1.5
2003	3	1.8
2004	3	2.0
2005	3.25	1.9
2006	3	2.9
2007	3	2.2
2008	3.6	3.3
2009	1.34	5.3
2010	2.7	1.2
2011	3.5	1.5
2012	3	3.8
2013		
