Year	CAPNP	CPENP
1998		
1999	2.5	
2000	5.5	7.7
2001	7.5	7.9
2002	4	5.4
2003	5	6.4
2004	3.5	5.2
2005	4	5.6
2006	5	4.3
2007	5	5.1
2008	6	4.8
2009		-1.3
2010		-3.2
2011		-0.2
2012		1.8
