Year	LPNP	CPENP
1998		
1999		
2000	5.1	6.3
2001	3.7	4.0
2002	3.9	3.4
2003	2.7	3.5
2004	4.2	2.6
2005	3.7	4.7
2006	3.7	1.8
2007	5.3	3.6
2008	1.1	3.0
2009	0.6	2.8
2010	4.2	2.0
2011	0.5	-0.7
2012	1.0	-2.7
2013		
