Year	CAPRP	LCRP
1998		
1999	1.9	
2000	1.4	3.7
2001	0.2	2.7
2002	0.5	-1.1
2003	-0.1	-1.5
2004	0.8	-1.2
2005	1.2	-0.7
2006	0.7	-2.4
2007	0.9	1.4
2008	0.0	-0.1
2009	0.9	2.3
2010	-0.1	-3.1
2011	0.2	-1.7
2012	1.6	1.9
2013		
