Year	CAPRP	LCRP
1998		
1999	0.0	
2000	0.2	-3.5
2001	3.4	0.0
2002	-0.7	-3.8
2003	1.0	0.8
2004	1.2	2.0
2005	1.8	2.0
2006	2.2	0.1
2007	2.1	3.3
2008	2.8	9.8
2009		0.9
2010		-4.3
2011		-3.5
2012		-1.7
