Year	CAPRP
1999	0.9
2000	1.0
2001	1.6
2002	2.3
2003	0.5
2004	-0.7
2005	0.2
2006	1.0
2007	0.2
2008	0.7
2009	2.0
2010	-1.4
2011	0.7
2012	-0.3
2013	
