Year	CAPNP
1999	4.1
2000	2.5
2001	1.7
2002	3.6
2003	2.4
2004	2.3
2005	1.9
2006	2.6
2007	3.8
2008	2.7
2009	3.6
2010	0.7
2011	1.6
2012	3.3
