Year	CAPRP
1999	3.4
2000	1.1
2001	-0.2
2002	2.2
2003	1.4
2004	0.5
2005	0.0
2006	0.8
2007	1.5
2008	-0.1
2009	3.4
2010	-0.4
2011	-0.9
2012	1.1
