Year	LPNP
1999	
2000	6.1
2001	2.3
2002	2.7
2003	3.1
2004	5.3
2005	4.3
2006	3.4
2007	1.1
2008	1.7
2009	-2.7
2010	8.2
2011	2.1
2012	2.1
2013	
