Year	CAPRP
1999	1.9
2000	1.7
2001	-0.3
2002	3.9
2003	-0.9
2004	0.1
2005	0.4
2006	1.4
2007	0.4
2008	0
2009	4.3
2010	-0.6
2011	-1
2012	1.8
2013	
