Year	CAPNP
1999	1.9
2000	2.8
2001	3.2
2002	2.2
2003	2.9
2004	2.4
2005	2.5
2006	1.6
2007	1.8
2008	4.5
2009	4
2010	2.7
2011	1.3
2012	2
2013	
