Year	CAPRP	CPERP
1999		
2000	1.3	3.4
2001	0.1	-0.3
2002	0.7	-0.3
2003	0.1	0.2
2004	2.0	0.1
2005		2.5
2006	0.5	-1.2
2007	2.4	1.1
2008	3.0	0.4
2009	4.3	3.7
2010	1.8	0.6
2011	0.1	-4.1
2012	-1.8	-5.4
2013	0.7	
