Year	CAPNP	LPNP
1999	2.5	595.5
2000	2.4	6.1
2001	2.4	2.3
2002	2.4	2.7
2003	2.3	3.1
2004	2.5	5.3
2005	2.5	4.3
2006	2.5	3.4
2007	2.8	1.1
2008	2.5	1.7
2009	2.4	-2.7
2010	1.15	8.2
2011	1.65	2.1
2012	1.26	2.1
2013	1.24	
