Year	CAPNP
1999	
2000	4.1
2001	4.5
2002	4.4
2003	3.4
2004	4.6
2005	
2006	3.6
2007	4.9
2008	5.7
2009	3.4
2010	3.2
2011	3.7
2012	1
2013	1.1
