Year	LCNP	LPNP	CPENP
1999	-19.5	-37.2	-38.0
2000	1.6	11.6	7.7
2001	5.6	7.9	7.9
2002	1.3	9.5	5.4
2003	4.4	5.6	6.4
2004	4.2	3.2	5.2
2005	4.6	3.5	5.6
2006	3.6	4.2	4.3
2007	4.0	1.7	5.1
2008	6.4	-4.6	4.8
2009	-3.8	-2.2	-1.3
2010	-6.4	1.1	-3.2
2011	-3.3	3.4	-0.2
2012	0.7	3.5	1.8
