Year	CAPNP
1999	2.9
2000	2.81
2001	3.3
2002	3.3
2003	2.85
2004	2.85
2005	2.85
2006	2.85
2007	2.9
2008	4
2009	4
2010	3.7
2011	1.07
2012	1
2013	1
