Year	CAPRP
1999	2.5
2000	0.5
2001	-0.1
2002	0.6
2003	2.0
2004	0.0
2005	-1.0
2006	-1.4
2007	-1.8
2008	1.9
2009	3.6
2010	-0.7
2011	-0.9
2012	0.3
