Year	LCRP
1999	
2000	1.2
2001	0.3
2002	-0.5
2003	0.8
2004	-1.5
2005	1.0
2006	-1.8
2007	-1.6
2008	1.9
2009	2.2
2010	-2.1
2011	-1.2
2012	-3.7
2013	
