Year	CAPRP
1998	
1999	
2000	
2001	-0.7
2002	-0.3
2003	0.6
2004	-0.1
2005	-0.8
2006	0.3
2007	0.5
2008	1.1
2009	1.8
2010	0.4
2011	-1.3
2012	-1.4
