Year	CAPRP
1999	2.0
2000	0.9
2001	0.2
2002	2.2
2003	1.7
2004	0.7
2005	-0.3
2006	1.6
2007	-0.1
2008	0.8
2009	2.6
2010	1.0
2011	-0.5
2012	0.7
