Year	CAPRP
1998	
1999	2.8
2000	-1.8
2001	2.4
2002	3.8
2003	
2004	0.7
2005	2.4
2006	0.5
2007	-1.1
2008	0.2
2009	0.0
2010	
2011	1.0
2012	
2013	
