Year	CAPRP
1999	0.6
2000	0.2
2001	0.0
2002	0.2
2003	1.3
2004	2.1
2005	1.5
2006	1.2
2007	0.3
2008	0.5
2009	2.4
2010	-1.2
2011	-2.2
2012	-0.6
2013	
