Year	LPNP
1999	
2000	7.5
2001	7.3
2002	4.6
2003	8.8
2004	4.9
2005	2.1
2006	6.0
2007	5.5
2008	3.2
2009	-0.3
2010	-1.3
2011	-0.5
2012	1.4
