Year	CAPNP	LCNP
1999	2.9	
2000	2.81	0.5
2001	3.3	4.4
2002	3.3	3.3
2003	2.85	2.3
2004	2.85	0.4
2005	2.85	2.2
2006	2.85	2.2
2007	2.9	4.8
2008	4	6.1
2009	4	6.1
2010	3.7	-1.0
2011	1.07	0.4
2012	1	0.2
2013	1	
