Year	CAPNP
1999	2.2
2000	1.4
2001	2.9
2002	2.6
2003	1.9
2004	2
2005	2.3
2006	3
2007	2.6
2008	3.3
2009	3.49
2010	0.69
2011	1.9
2012	3.1
2013	2.4
